constituency_no,constituency,serial_num,candidate_name,party,evmvotes,postalvotes,totalvotes,vote_percent,coalition
188,Phulwari,9,Shri Raj Paswan,Prabal Bharat Party,1154,1,1155,0.45,
188,Phulwari,10,Anil Das,Independent,1332,1,1333,0.52,
188,Phulwari,11,Puja Kumari,Independent,3795,3,3798,1.48,
188,Phulwari,12,Sukesh Kumar,Independent,2927,1,2928,1.14,
188,Phulwari,13,Nota,None of the Above,4838,6,4844,1.88,
189,Masaurhi,1,Arun Manjhi,Janata Dal (United),106293,212,106505,47.16,NDA
189,Masaurhi,2,Manoj Kumar,Bahujan Samaj Party,4073,3,4076,1.8,
189,Masaurhi,3,Rekha Devi,Rashtriya Janata Dal,98651,211,98862,43.78,MGB
189,Masaurhi,4,Rajeshwar Manjhi,Jan Suraaj Party,4658,35,4693,2.08,
189,Masaurhi,5,Jagat Paswan,Independent,1762,0,1762,0.78,
189,Masaurhi,6,Ravi Prakash,Independent,979,1,980,0.43,
189,Masaurhi,7,Ram Ekwal Ravidas,Independent,757,0,757,0.34,
189,Masaurhi,8,Vijendra Paswan,Independent,1942,0,1942,0.86,
189,Masaurhi,9,Sri Kant Kumar,Independent,1096,0,1096,0.49,
189,Masaurhi,10,Nota,None of the Above,5145,1,5146,2.28,
190,Paliganj,1,Shivnath Kumar,Aam Aadmi Party,1809,3,1812,0.99,
190,Paliganj,2,Sandeep Saurav,Communist Party of India (Marxist-Leninist) (Liberation),80868,237,81105,44.48,
190,Paliganj,3,Sunil Kumar,Lok Janshakti Party (Ram Vilas),74287,163,74450,40.83,NDA
190,Paliganj,4,Sushant,Bahujan Samaj Party,2740,5,2745,1.51,
190,Paliganj,5,Anamika,Socialist Unity Centre Of India (COMMUNIST),430,3,433,0.24,
190,Paliganj,6,Anand Kumar,Bhartiya Lok Chetna Party,513,1,514,0.28,
190,Paliganj,7,Girja Ram,Suheldev Bharatiya Samaj Party,808,1,809,0.44,
190,Paliganj,8,Jitendra Kumar Pandit,Awami Samta Party,374,0,374,0.21,
190,Paliganj,9,Shyam Nandan Sharma,Jan Suraaj Party,6548,64,6612,3.63,
190,Paliganj,10,Arvind Kumar Maurya,Independent,955,7,962,0.53,
190,Paliganj,11,Jitendra Kumar,Independent,790,0,790,0.43,
190,Paliganj,12,Mritunjay Kumar,Independent,1421,1,1422,0.78,
190,Paliganj,13,Shambhu Kumar,Independent,3747,0,3747,2.06,
190,Paliganj,14,Satya Narayan Yadav,Independent,3354,0,3354,1.84,
190,Paliganj,15,Nota,None of the Above,3182,9,3191,1.75,
191,Bikram,1,Anil Kumar,Indian National Congress,95310,278,95588,44.42,MGB
191,Bikram,2,Ram Pravesh Yadav,Bahujan Samaj Party,2575,7,2582,1.2,
191,Bikram,3,Siddharth Saurav,Bharatiya Janata Party,100864,325,101189,47.02,NDA
191,Bikram,4,Ajeet Kumar,Janshakti Janta Dal,4923,14,4937,2.29,
191,Bikram,5,Chandan Sharma,Jagrook Janta Party,559,1,560,0.26,
191,Bikram,6,Dhurakheli Ravidas,Indian National Socialistic Action Forces,404,0,404,0.19,
191,Bikram,7,Mantu Kumar,Jan Suraaj Party,2993,44,3037,1.41,
191,Bikram,8,Shambhu Prasad Sharma,Hindustan Vikas Dal,913,0,913,0.42,
191,Bikram,9,Chandan Kumar,Independent,1924,2,1926,0.89,
191,Bikram,10,Rajiv Kumar Singh,Independent,728,0,728,0.34,
191,Bikram,11,Nota,None of the Above,3335,3,3338,1.55,
192,Sandesh,1,Dipu Singh,Rashtriya Janata Dal,80108,463,80571,43.97,MGB
192,Sandesh,2,Radha Charan Sah,Janata Dal (United),80072,526,80598,43.99,NDA
192,Sandesh,3,Ajay Kumar Pathak,Akhil Bharatiya Jan Sangh,1283,10,1293,0.71,
192,Sandesh,4,Manmohan Singh,Rashtrawadi Janlok Party (Satya),505,4,509,0.28,
192,Sandesh,5,Rajiv Ranjan Raj,Jan Suraaj Party,5920,120,6040,3.3,
192,Sandesh,6,Sanjeet Kumar,Peoples Party of India (Democratic),606,3,609,0.33,
192,Sandesh,7,Satya Prakash,The Plurals Party,297,2,299,0.16,
192,Sandesh,8,Abhishek Kumar,Independent,393,5,398,0.22,
192,Sandesh,9,Mukesh Singh,Independent,5373,26,5399,2.95,
192,Sandesh,10,Sandhya Kumari,Independent,868,12,880,0.48,
192,Sandesh,11,Samarjay Singh,Independent,2473,1,2474,1.35,
192,Sandesh,12,Nota,None of the Above,4142,18,4160,2.27,
193,Barhara,1,Ashok Kumar Singh,Rashtriya Janata Dal,64751,439,65190,35.8,MGB
193,Barhara,2,Raghvendra Pratap Singh,Bharatiya Janata Party,78980,613,79593,43.71,NDA
193,Barhara,3,Santosh Kumar Singh,Peoples Party of India (Democratic),1054,5,1059,0.58,
193,Barhara,4,Saurabh Singh Yadav,Jan Suraaj Party,3101,88,3189,1.75,
193,Barhara,5,Kajal,Independent,1013,17,1030,0.57,
193,Barhara,6,Kisun Prasad,Independent,1355,2,1357,0.75,
193,Barhara,7,Dharampal Yadav,Independent,498,2,500,0.27,
193,Barhara,8,Banshidhar Singh,Independent,1773,26,1799,0.99,
193,Barhara,9,Ranvijay Kumar Singh,Independent,3848,15,3863,2.12,
193,Barhara,10,Shiv Das Singh,Independent,432,0,432,0.24,
193,Barhara,11,Saroj Yadav,Independent,8940,44,8984,4.93,
193,Barhara,12,Surya Bhan Singh,Independent,9181,87,9268,5.09,
193,Barhara,13,Saurav Narang,Independent,2359,2,2361,1.3,
193,Barhara,14,Nota,None of the Above,3460,11,3471,1.91,
194,Arrah,1,Quyamuddin Ansari,Communist Party of India (Marxist-Leninist) (Liberation),74124,496,74620,40.38,
194,Arrah,2,Mritunjay Bhardwaj,Bahujan Samaj Party,1088,10,1098,0.59,
194,Arrah,3,Sanjay Singh (Tiger),Bharatiya Janata Party,93598,603,94201,50.98,NDA
194,Arrah,4,Arun Kumar Singh,Bhartiya Mahasangh Party,900,8,908,0.49,
194,Arrah,5,Gorakh Ram,Bhojpuria Jan Morcha,320,2,322,0.17,
194,Arrah,6,Dharmatma Sharma,Socialist Unity Centre Of India (COMMUNIST),179,1,180,0.1,
194,Arrah,7,Raj Kishor Sharma,Jantantra Awaj Party,267,1,268,0.15,
194,Arrah,8,Rajesh Sharma,Gantantrik Samaj Party,336,1,337,0.18,
194,Arrah,9,Ram Prakash Pandey,Akhil Bharatiya Jan Sangh,379,5,384,0.21,
194,Arrah,10,Dr. Vijay Kumar Gupta,Jan Suraaj Party,5680,120,5800,3.14,
194,Arrah,11,Md. Sarfaraj Ansari,Peoples Party of India (Democratic),678,1,679,0.37,
194,Arrah,12,Amardeep Kumar Jai,Independent,1183,0,1183,0.64,
194,Arrah,13,Sachin,Independent,643,1,644,0.35,
194,Arrah,14,Nota,None of the Above,4139,15,4154,2.25,
195,Agiaon,1,Mahesh Paswan,Bharatiya Janata Party,69039,373,69412,45.2,NDA
195,Agiaon,2,Mukesh Kumar Ram,Bahujan Samaj Party,1424,16,1440,0.94,
195,Agiaon,3,Shiv Prakash Ranjan,Communist Party of India (Marxist-Leninist) (Liberation),68892,425,69317,45.14,
195,Agiaon,4,Barun Deo,Janshakti Janta Dal,1317,9,1326,0.86,
195,Agiaon,5,Basant Kumar Ram,Voters Party International,584,0,584,0.38,
195,Agiaon,6,Ramesh Kumar,Jan Suraaj Party,3808,74,3882,2.53,
195,Agiaon,7,Vijay Mehra,Independent,733,1,734,0.48,
195,Agiaon,8,Shyam Bihari Choudhary,Independent,2503,5,2508,1.63,
195,Agiaon,9,Suraj Bhan,Independent,719,1,720,0.47,
195,Agiaon,10,Nota,None of the Above,3622,9,3631,2.36,
196,Tarari,1,Madan Singh S/O-Kumi Singh,Communist Party of India (Marxist-Leninist) (Liberation),84911,512,85423,43.72,
196,Tarari,2,Vishal Prashant,Bharatiya Janata Party,96310,577,96887,49.59,NDA
196,Tarari,3,Sanjay Kumar Sharma,Aam Aadmi Party,1212,11,1223,0.63,
196,Tarari,4,Santosh Kumar Singh,Bahujan Samaj Party,389,7,396,0.2,
196,Tarari,5,Ashok Kumar Singh,Socialist Party (India),122,0,122,0.06,
196,Tarari,6,Chandra Shekhar Singh,Jan Suraaj Party,2211,60,2271,1.16,
196,Tarari,7,Narayan Singh,Voters Party International,186,1,187,0.1,
196,Tarari,8,Raju Rajvanshi,Suheldev Bharatiya Samaj Party,305,4,309,0.16,
196,Tarari,9,Rajesh Singh,Rashtriya Jansambhavna Party,160,3,163,0.08,
196,Tarari,10,Sikandar Kumar,Janshakti Janta Dal,324,3,327,0.17,
196,Tarari,11,Karmoo Sah Keshari,Independent,213,0,213,0.11,
196,Tarari,12,Madan Singh S/O Barbhanga Singh,Independent,315,0,315,0.16,
196,Tarari,13,Rajnish Kumar,Independent,390,0,390,0.2,
196,Tarari,14,Ramesh Chandra Rabi,Independent,712,2,714,0.37,
196,Tarari,15,Rajendra Kumar Pathak,Independent,2364,0,2364,1.21,
196,Tarari,16,Nota,None of the Above,4074,4,4078,2.09,
197,Jagdishpur,1,Kishore Kunal,Rashtriya Janata Dal,74377,404,74781,39.73,MGB
197,Jagdishpur,2,Sribhagwan Singh Kushwaha,Janata Dal (United),92462,512,92974,49.39,NDA
197,Jagdishpur,3,Sanjay Kumar Chaturvedi,Bahujan Samaj Party,2805,15,2820,1.5,
197,Jagdishpur,4,Neeraj Roy,Janshakti Janta Dal,597,10,607,0.32,
197,Jagdishpur,5,Vijay Singh,Jan Suraaj Party,4999,107,5106,2.71,
197,Jagdishpur,6,Virendra Kumar Singh,Bhojpuria Jan Morcha,324,4,328,0.17,
197,Jagdishpur,7,Amradeep Kumar Jai,Independent,489,1,490,0.26,
197,Jagdishpur,8,Munga Lal Ram,Independent,834,7,841,0.45,
197,Jagdishpur,9,Rajeev Ranjan,Independent,3257,15,3272,1.74,
197,Jagdishpur,10,Hiralal Singh,Independent,3070,0,3070,1.63,
197,Jagdishpur,11,Nota,None of the Above,3945,10,3955,2.1,
198,Shahpur,1,Dharmendra Kumar,Bahujan Samaj Party,2911,12,2923,1.64,
198,Shahpur,2,Rakesh Ranjan,Bharatiya Janata Party,87897,758,88655,49.69,NDA
198,Shahpur,3,Rahul Tiwary,Rashtriya Janata Dal,72945,485,73430,41.16,MGB
198,Shahpur,4,Padma Ojha,Jan Suraaj Party,3837,111,3948,2.21,
198,Shahpur,5,Madan Yadav,Janshakti Janta Dal,580,9,589,0.33,
198,Shahpur,6,Shankar Kumar Gond,Gondvana Gantantra Party,231,4,235,0.13,
198,Shahpur,7,Krishna Ram,Independent,974,5,979,0.55,
198,Shahpur,8,Gouttam Ojha,Independent,253,2,255,0.14,
198,Shahpur,9,Dablu Kumar Gond,Independent,1000,0,1000,0.56,
198,Shahpur,10,Manan Shah,Independent,2534,2,2536,1.42,
198,Shahpur,11,Sahabudin Miya,Independent,1839,5,1844,1.03,
198,Shahpur,12,Nota,None of the Above,2002,4,2006,1.12,
199,Brahampur,1,Mahavir Yadav,Bahujan Samaj Party,4557,42,4599,2.23,
199,Brahampur,2,Shambhu Nath Yadav,Rashtriya Janata Dal,95066,762,95828,46.43,MGB
199,Brahampur,3,Hulas Pande,Lok Janshakti Party (Ram Vilas),91844,764,92608,44.87,NDA
199,Brahampur,4,Vikrama Gond,Gondvana Gantantra Party,1594,11,1605,0.78,
199,Brahampur,5,Sunil Kumar Ray,Suheldev Bharatiya Samaj Party,2455,10,2465,1.19,
199,Brahampur,6,Nitish Kumar,Independent,1908,24,1932,0.94,
199,Brahampur,7,Manish Bhushan Ojha,Independent,2737,14,2751,1.33,
199,Brahampur,8,Shiv Shankar Das,Independent,2274,2,2276,1.1,
199,Brahampur,9,Nota,None of the Above,2309,20,2329,1.13,
200,Buxar,1,Abhimnyu Maury,Bahujan Samaj Party,28966,152,29118,15.44,
200,Buxar,2,Anand Mishra,Bharatiya Janata Party,84261,640,84901,45.01,NDA
200,Buxar,3,Dharm Raj Singh,Aam Aadmi Party,1124,6,1130,0.6,
200,Buxar,4,Sanjay Kumar Tiwari Urf Munna Tiwari,Indian National Congress,56049,499,56548,29.98,MGB
200,Buxar,5,Tathagat Harsh Vardhan,Jan Suraaj Party,7820,100,7920,4.2,
200,Buxar,6,Pankaj Kumar Pandey,Kisan Samaj Party (S),480,6,486,0.26,
200,Buxar,7,Binod Kumar Singh,Bhartiya Sarthak Party,353,6,359,0.19,
200,Buxar,8,Visheshwar Chauhan,Rashtriya Jansambhavna Party,343,3,346,0.18,
200,Buxar,9,Sohan Gond,Gondvana Gantantra Party,781,1,782,0.41,
200,Buxar,10,Om Jee Kumar,Independent,403,6,409,0.22,
200,Buxar,11,Nitu Kumari,Independent,371,3,374,0.2,
200,Buxar,12,Pramila Devi,Independent,563,5,568,0.3,
200,Buxar,13,Manoj Kumar,Independent,1455,10,1465,0.78,
200,Buxar,14,Rampravesh Singh,Independent,1572,3,1575,0.84,
200,Buxar,15,Vishwamitra Kahar,Independent,1281,0,1281,0.68,
200,Buxar,16,Nota,None of the Above,1354,2,1356,0.72,
201,Dumraon,1,Dr. Ajit Kumar Singh,Communist Party of India (Marxist-Leninist) (Liberation),76669,637,77306,39.3,
201,Dumraon,2,Dadan Yadav,Bahujan Samaj Party,11026,101,11127,5.66,
201,Dumraon,3,Mrityunjay Kumar Singh,Rashtriya Lok Janshakti Party,1763,31,1794,0.91,GDA
201,Dumraon,4,Rahul Kumar Singh,Janata Dal (United),78884,527,79411,40.37,NDA
201,Dumraon,5,Umesh Ram,Sanyukt Kisan Vikas Party,919,7,926,0.47,
201,Dumraon,6,Dinesh Singh,Janshakti Janta Dal,822,7,829,0.42,
201,Dumraon,7,Pradip Kumar Sharan,Suheldev Bharatiya Samaj Party,4967,9,4976,2.53,
201,Dumraon,8,Mantosh Kumar Gond,Gondvana Gantantra Party,973,4,977,0.5,
201,Dumraon,9,Ravishankar Prasad,Bhagidari Party(P),860,3,863,0.44,
201,Dumraon,10,Shivang Vijay Singh,Jan Suraaj Party,5162,111,5273,2.68,
201,Dumraon,11,Sushil Kumar Sharma,Jagrook Janta Party,496,2,498,0.25,
201,Dumraon,12,Pramila Devi,Independent,1062,5,1067,0.54,
201,Dumraon,13,Bheem Kamkar,Independent,2660,1,2661,1.35,
201,Dumraon,14,Ravi Prakash Sinha,Independent,994,1,995,0.51,
201,Dumraon,15,Ravishankar Ray,Independent,949,2,951,0.48,
201,Dumraon,16,Hemlata,Independent,3994,0,3994,2.03,
201,Dumraon,17,Nota,None of the Above,3050,9,3059,1.56,
202,Rajpur,1,Amar Paswan,Rashtriya Lok Janshakti Party,1717,15,1732,0.82,GDA
202,Rajpur,2,Lal Jee Ram,Bahujan Samaj Party,20449,49,20498,9.7,
202,Rajpur,3,Vishwanath Ram,Indian National Congress,71213,352,71565,33.86,MGB
202,Rajpur,4,Santosh Kumar Nirala,Janata Dal (United),80368,333,80701,38.19,NDA
202,Rajpur,5,Anil Kumar Ram,Aazad Samaj Party (Kanshi Ram),4548,9,4557,2.16,GDA
202,Rajpur,6,Dhananjay Kumar,Jan Suraaj Party,12406,85,12491,5.91,
202,Rajpur,7,Baleshwar Ram,Rashtriya Jansambhavna Party,1017,0,1017,0.48,
202,Rajpur,8,Bhim Ram,Sarvjan Sanatan Party,971,0,971,0.46,
202,Rajpur,9,Shiv Kumar Ram,Suheldev Bharatiya Samaj Party,6746,3,6749,3.19,
202,Rajpur,10,Shivji Kumar,Janshakti Vikas Party (Democratic),1608,1,1609,0.76,
202,Rajpur,11,Subhash Ram,Bhartiya Sarthak Party,2514,3,2517,1.19,
202,Rajpur,12,Suraj Prakash Ram,Sanyukt Kisan Vikas Party,2753,0,2753,1.3,
202,Rajpur,13,Ram Lal Ram,Independent,1386,1,1387,0.66,
202,Rajpur,14,Nota,None of the Above,2769,9,2778,1.31,
203,Ramgarh,1,Ajit Kumar,Rashtriya Janata Dal,41287,193,41480,21.29,MGB
203,Ramgarh,2,Ashok Kumar Singh,Bharatiya Janata Party,72338,321,72659,37.29,NDA
203,Ramgarh,3,Satish Kumar Singh Yadav,Bahujan Samaj Party,72382,307,72689,37.31,
203,Ramgarh,4,Anand Kumar Singh,Jan Suraaj Party,4389,37,4426,2.27,
203,Ramgarh,5,Ghurelal Rajbhar,Suheldev Bharatiya Samaj Party,1777,2,1779,0.91,
203,Ramgarh,6,Rampravesh Singh,Independent,657,0,657,0.34,
203,Ramgarh,7,Nota,None of the Above,1152,2,1154,0.59,
204,Mohania,1,Omprakash Narayan,Bahujan Samaj Party,32123,140,32263,16.91,
204,Mohania,2,Ranjit Dom,Aam Aadmi Party,1059,1,1060,0.56,
204,Mohania,3,Sangita Kumari,Bharatiya Janata Party,75998,292,76290,39.98,NDA
204,Mohania,4,Kanhaiya Ram,Jantantra Awaj Party,1102,4,1106,0.58,
204,Mohania,5,Gita Devi,Jan Suraaj Party,14015,113,14128,7.4,
204,Mohania,6,Nitish Kumar,Asankhya Samaj Party,843,0,843,0.44,
204,Mohania,7,Babudhan Pasi,Rashtriya Jansambhavna Party,404,2,406,0.21,
204,Mohania,8,Munna Kumar,Nationalist Congress Party,309,9,318,0.17,
204,Mohania,9,Ajay Kumar,Independent,1135,3,1138,0.6,
204,Mohania,10,Indrajit Ram,Independent,565,3,568,0.3,
204,Mohania,11,Nitu Kumari,Independent,2202,3,2205,1.16,
204,Mohania,12,Ravi Shankar Paswan,Independent,57251,287,57538,30.15,
204,Mohania,13,Nota,None of the Above,2946,6,2952,1.55,
205,Bhabua,1,Bharat Bind,Bharatiya Janata Party,79696,343,80039,41.48,NDA
205,Bhabua,2,Mohammad Amiruddin Ansari,Aam Aadmi Party,1122,16,1138,0.59,
205,Bhabua,3,Vikash Singh,Bahujan Samaj Party,39452,259,39711,20.58,
205,Bhabua,4,Vikash Kumar Tiwari,Rashtriya Lok Janshakti Party,6161,83,6244,3.24,GDA
205,Bhabua,5,Birendra Kumar Singh,Rashtriya Janata Dal,55032,592,55624,28.83,MGB
205,Bhabua,6,Jainendra Kumar Arya,Jan Suraaj Party,6665,110,6775,3.51,
205,Bhabua,7,Ajeet Kumar Patel,Independent,720,2,722,0.37,
205,Bhabua,8,Shishupal Singh,Independent,777,1,778,0.4,
205,Bhabua,9,Nota,None of the Above,1919,8,1927,1,
206,Chainpur,1,Md. Zama Khan,Janata Dal (United),70597,279,70876,30.94,NDA
206,Chainpur,2,Dhiraj Kumar Singh,Bahujan Samaj Party,50987,213,51200,22.35,
206,Chainpur,3,Ram Raj Sharma,Aam Aadmi Party,1974,6,1980,0.86,
206,Chainpur,4,Brij Kishor Bind,Rashtriya Janata Dal,62177,337,62514,27.29,MGB
206,Chainpur,5,Anil Kumar Singh,Jansatta Party of India,1154,1,1155,0.5,
206,Chainpur,6,Anuj Kumar Dubey,Uday Bharatam Party,627,0,627,0.27,
206,Chainpur,7,Govind Vind,Vikassheel Insaan Party,5128,16,5144,2.25,MGB
206,Chainpur,8,Dindayal Singh Kushawaha,Samata Party,444,1,445,0.19,
206,Chainpur,9,Majnu Gond,Aazad Samaj Party (Kanshi Ram),3244,8,3252,1.42,GDA
206,Chainpur,10,Raja Lal Singh,Bhagidari Party(P),5334,4,5338,2.33,
206,Chainpur,11,Sunil Kumar,Sarvlokhit Samaj Party,664,2,666,0.29,
206,Chainpur,12,Sunil Sharma,Jagrook Janta Party,933,0,933,0.41,
206,Chainpur,13,Sushank Kumar Singh,Suheldev Bharatiya Samaj Party,4898,2,4900,2.14,
206,Chainpur,14,Hemant Kumar Choubey,Jan Suraaj Party,6820,57,6877,3,
206,Chainpur,15,Akash Ranjan,Independent,1218,1,1219,0.53,
206,Chainpur,16,Uttam Patel,Independent,5279,23,5302,2.31,
206,Chainpur,17,Gopal Vinda,Independent,1747,0,1747,0.76,
206,Chainpur,18,Priyanka,Independent,789,1,790,0.34,
206,Chainpur,19,Mahendra Prasad,Independent,779,0,779,0.34,
206,Chainpur,20,Madhaw Singh,Independent,1150,2,1152,0.5,
206,Chainpur,21,Ram Ekabal Prasad,Independent,422,0,422,0.18,
206,Chainpur,22,Shravan Bind,Independent,440,1,441,0.19,
206,Chainpur,23,Nota,None of the Above,1314,7,1321,0.58,
207,Chenari,1,Asha Paswan,Rashtriya Lok Janshakti Party,1591,9,1600,0.78,GDA
207,Chenari,2,Mangal Ram,Indian National Congress,73182,409,73591,35.76,MGB
207,Chenari,3,Murari Prasad Gautam,Lok Janshakti Party (Ram Vilas),95310,269,95579,46.44,NDA
207,Chenari,4,Sweta Devi,Bahujan Samaj Party,3500,11,3511,1.71,
207,Chenari,5,Amit Paswan,Aazad Samaj Party (Kanshi Ram),7492,44,7536,3.66,GDA
207,Chenari,6,Neha Kumari,Jan Suraaj Party,9311,93,9404,4.57,
207,Chenari,7,Bhjuram,Rashtriya Samanta Dal,432,1,433,0.21,
207,Chenari,8,Ravishankar Parasad,Lohiya Janta Dal,318,0,318,0.15,
207,Chenari,9,Saloni Devi Omprakash Ram,Republican Party of India (A),814,0,814,0.4,
207,Chenari,10,Sunil Ram,Rashtriya Jansambhavna Party,623,0,623,0.3,
207,Chenari,11,Neha Kumari,Independent,1260,8,1268,0.62,
207,Chenari,12,Pankaj Kumar,Independent,1064,0,1064,0.52,
207,Chenari,13,Pramhansh Kumar,Independent,1452,0,1452,0.71,
207,Chenari,14,Sukhari Ram,Independent,4265,1,4266,2.07,
207,Chenari,15,Hare Ram Ram,Independent,2006,0,2006,0.97,
207,Chenari,16,Nota,None of the Above,2324,4,2328,1.13,
208,Sasaram,1,Arman Ahmad Khan,Aam Aadmi Party,1063,4,1067,0.48,
208,Sasaram,2,Ashok Kumar,Bahujan Samaj Party,10177,84,10261,4.64,
208,Sasaram,3,Satendra Sah,Rashtriya Janata Dal,79046,517,79563,35.99,MGB
208,Sasaram,4,Ashutosh Singh,Nationalist Congress Party,695,13,708,0.32,
208,Sasaram,5,Dhanjit Sharma,Jagrook Janta Party,1016,1,1017,0.46,
208,Sasaram,6,Binay Kumar Singh,Jan Suraaj Party,6400,95,6495,2.94,
208,Sasaram,7,Md Shahzad Hussain,Aazad Samaj Party (Kanshi Ram),3500,17,3517,1.59,GDA
208,Sasaram,8,Yash Raj Singh,Jai Hind Force,598,2,600,0.27,
208,Sasaram,9,Rekha Devi,Suheldev Bharatiya Samaj Party,2909,9,2918,1.32,
208,Sasaram,10,Snehlata,Rashtriya Lok Morcha,104701,305,105006,47.49,NDA
208,Sasaram,11,Anand Kumar Gupta,Independent,602,1,603,0.27,
208,Sasaram,12,Arif Isain Hussain,Independent,251,3,254,0.11,
208,Sasaram,13,Omjeet Kumar,Independent,517,4,521,0.24,
208,Sasaram,14,Kumari Archana Gupta,Independent,1024,3,1027,0.46,
208,Sasaram,15,Krishna Kumar Singh,Independent,346,0,346,0.16,
208,Sasaram,16,Geeta Devi,Independent,876,0,876,0.4,
208,Sasaram,17,Jakir Husain,Independent,658,0,658,0.3,
208,Sasaram,18,Niranjan Kumar,Independent,371,0,371,0.17,
208,Sasaram,19,Bimal Kant Dubey,Independent,860,0,860,0.39,
208,Sasaram,20,Ramayan Paswan,Independent,326,1,327,0.15,
208,Sasaram,21,Lal Mati Devi,Independent,345,2,347,0.16,
208,Sasaram,22,Vivek Kumar,Independent,2775,13,2788,1.26,
208,Sasaram,23,Nota,None of the Above,953,8,961,0.43,
209,Kargahar,1,Uday Pratap Singh,Bahujan Samaj Party,56551,258,56809,25.87,
209,Kargahar,2,Bashisth Singh,Janata Dal (United),92082,403,92485,42.12,NDA
209,Kargahar,3,Santosh Kumar Mishra,Indian National Congress,39135,198,39333,17.91,MGB
209,Kargahar,4,Amit Kumar,Rashtriya Sanatan Party,759,1,760,0.35,
209,Kargahar,5,Mantu Kumar,Lok Shakti Party (Loktantrik),791,1,792,0.36,
209,Kargahar,6,Mahendra Prasad Gupta,Communist Party of India,2352,10,2362,1.08,MGB
209,Kargahar,7,Ramesar Noniya,Rashtriya Jansambhavna Party,457,1,458,0.21,
209,Kargahar,8,Ritesh Ranjan,Jan Suraaj Party,16208,90,16298,7.42,
209,Kargahar,9,Govardhan Singh,Independent,2495,4,2499,1.14,
209,Kargahar,10,Deepak Kumar,Independent,468,0,468,0.21,
209,Kargahar,11,Ramsundar Pal,Independent,1189,1,1190,0.54,
209,Kargahar,12,Shiv Kumar Singh,Independent,3097,0,3097,1.41,
209,Kargahar,13,Nota,None of the Above,3012,1,3013,1.37,
210,Dinara,1,Bhupesh Singh,Rashtriya Lok Janshakti Party,872,27,899,0.48,GDA
210,Dinara,2,Malti Devi,Bahujan Samaj Party,8361,21,8382,4.48,
210,Dinara,3,Shashi Shankar Kumar Alias Rajesh Yadav,Rashtriya Janata Dal,67225,279,67504,36.09,MGB
210,Dinara,4,Anil Kumar Singh,Lohiya Janta Dal,1138,2,1140,0.61,
210,Dinara,5,Alok Kumar Singh,Rashtriya Lok Morcha,78151,187,78338,41.88,NDA
210,Dinara,6,Manoj Kumar Singh,Nationalist Congress Party,777,4,781,0.42,
210,Dinara,7,Sanjay Kumar,Jan Suraaj Party,6356,50,6406,3.42,
210,Dinara,8,Abhishek Ranjan,Independent,623,1,624,0.33,
210,Dinara,9,Jai Kumar Singh,Independent,17756,83,17839,9.54,
210,Dinara,10,Niranjan Kumar Ray,Independent,680,1,681,0.36,
210,Dinara,11,Munna Singh,Independent,1416,1,1417,0.76,
210,Dinara,12,Rama Kant Ram,Independent,1422,0,1422,0.76,
210,Dinara,13,Nota,None of the Above,1630,1,1631,0.87,
211,Nokha,1,Anita Devi,Rashtriya Janata Dal,68688,451,69139,37.92,MGB
211,Nokha,2,Nagendra Chandravanshi,Janata Dal (United),92815,378,93193,51.12,NDA
211,Nokha,3,Sunita Kumari,Bahujan Samaj Party,4359,14,4373,2.4,
211,Nokha,4,Ajeet Kumar Singh,Peoples Party of India (Democratic),364,4,368,0.2,
211,Nokha,5,Arvind Kumar,Bhartiya Lok Chetna Party,1301,6,1307,0.72,
211,Nokha,6,Ashok Kumar Singh,Lohiya Janta Dal,341,0,341,0.19,
211,Nokha,7,Dhananjay Paswan,Suheldev Bharatiya Samaj Party,1377,4,1381,0.76,
211,Nokha,8,Nasrullah Khan,Jan Suraaj Party,4766,65,4831,2.65,
211,Nokha,9,Ranjan Kumar Chaudhary,Bharateeya Manavadhikar party,430,0,430,0.24,
211,Nokha,10,Santosh Kumar Singh,Rashtriya Jansambhavna Party,798,1,799,0.44,
211,Nokha,11,Sarveshwar Tiwary,Independent,2752,1,2753,1.51,
211,Nokha,12,Nota,None of the Above,3396,4,3400,1.86,
212,Dehri,1,Guddu Kumar Chandrawansi,Rashtriya Janata Dal,67622,432,68054,35.52,MGB
212,Dehri,2,Rajeev Ranjan Singh,Lok Janshakti Party (Ram Vilas),103684,338,104022,54.29,NDA
212,Dehri,3,Pradip Kumar Joshi,Rashtra Sewa Dal,1749,13,1762,0.92,
212,Dehri,4,Pradeep Lallan Singh,Jan Suraaj Party,4289,34,4323,2.26,
212,Dehri,5,Phate Bahadur Singh,Aazad Samaj Party (Kanshi Ram),6961,42,7003,3.66,GDA
212,Dehri,6,Indra Raj Roushan,Independent,356,2,358,0.19,
212,Dehri,7,Md. Ekram Ansari,Independent,570,0,570,0.3,
212,Dehri,8,Ranjan Kumar,Independent,721,3,724,0.38,
212,Dehri,9,Sameer Kumar,Independent,564,1,565,0.29,
212,Dehri,10,Saroj Kumar Singh,Independent,1804,2,1806,0.94,
212,Dehri,11,Nota,None of the Above,2400,5,2405,1.26,
213,Karakat,1,Arun Singh (Vill-Ajnap Tola),Communist Party of India (Marxist-Leninist) (Liberation),73748,409,74157,37.51,
213,Karakat,2,Bandana Raj,Bahujan Samaj Party,7310,67,7377,3.73,
213,Karakat,3,Mahabali Singh,Janata Dal (United),71046,275,71321,36.07,NDA
